"series","episode","baker_name","baker","result","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical"
8,8,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","Burrito Bedfordshire Clangers","'Liver Building Turret' Savoy Cake",2
8,8,"Liam Charles","Liam","OUT",19,"Student","North London","'Take Out' Bedfordshire Clangers","'Fort Wizardore' Savoy Cake",5
8,8,"Sophie Faldo","Sophie","IN",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Char Siu & Banana Praline Bedfordshire Clangers","Citrus with Green Apple Croquembouche Savoy Cake",4
8,8,"Stacey Hart","Stacey","STAR BAKER",42,"Former school teacher","Radlett, Hertfordshire","Camembert & Onion and Apple & Blueberry Bedfordshire Clangers","'Bright' Lemon & Orange Savoy Cake",3
8,8,"Steven Carter-Bailey","Steven","IN",34,"Marketer","Watford, Hertfordshire","'Mediterranean Medley' Bedfordshire Clangers","Chestnut Rum Savoy Cake",1
8,8,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,8,NA,"Flo",NA,NA,NA,NA,NA,NA,NA
8,8,NA,"James",NA,NA,NA,NA,NA,NA,NA
8,8,NA,"Julia",NA,NA,NA,NA,NA,NA,NA
8,8,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,8,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
8,8,NA,"Yan",NA,NA,NA,NA,NA,NA,NA
8,9,"Kate Lyon","Kate","IN",29,"Health and safety inspector","Merseyside","Bellini and Valencian Orange Choux Buns","'Rainbow' Meringue Centrepiece",4
8,9,"Sophie Faldo","Sophie","STAR BAKER",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns","'Tutu with Opera Filling' Meringue Centrepiece",1
8,9,"Stacey Hart","Stacey","OUT",42,"Former school teacher","Radlett, Hertfordshire","'Choux-nicorn and Choux-moji' Choux Buns","'Flamingos in Love' Meringue Centrepiece",2
8,9,"Steven Carter-Bailey","Steven","IN",34,"Marketer","Watford, Hertfordshire","Key Lime Cheesecake and Bakewell Tart Choux Buns","'Some Air Over the Rainbow' Meringue Centrepiece",3
8,9,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,9,NA,"Flo",NA,NA,NA,NA,NA,NA,NA
8,9,NA,"James",NA,NA,NA,NA,NA,NA,NA
8,9,NA,"Julia",NA,NA,NA,NA,NA,NA,NA
8,9,NA,"Liam",NA,NA,NA,NA,NA,NA,NA
8,9,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,9,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
8,9,NA,"Yan",NA,NA,NA,NA,NA,NA,NA
8,10,"Kate Lyon","Kate","Runner-up",29,"Health and safety inspector","Merseyside","Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3
8,10,"Sophie Faldo","Sophie","WINNER",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche","'Ode to the Honey Bee' Entremet",2
8,10,"Steven Carter-Bailey","Steven","Runner-up",34,"Marketer","Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","'Yin Yang' Entremet",1
8,10,NA,"Chris",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"Flo",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"James",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"Julia",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"Liam",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"Stacey",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"Tom",NA,NA,NA,NA,NA,NA,NA
8,10,NA,"Yan",NA,NA,NA,NA,NA,NA,NA
9,1,NA,"Antony","IN",NA,NA,NA,NA,NA,12
9,1,NA,"Briony","IN",NA,NA,NA,NA,NA,2
9,1,NA,"Dan","IN",NA,NA,NA,NA,NA,4
9,1,NA,"Jon","IN",NA,NA,NA,NA,NA,5
9,1,NA,"Karen","IN",NA,NA,NA,NA,NA,6
9,1,NA,"Kim-Joy","IN",NA,NA,NA,NA,NA,10
9,1,NA,"Luke","IN",NA,NA,NA,NA,NA,8
9,1,NA,"Rahul","IN",NA,NA,NA,NA,NA,7
9,1,NA,"Ruby","IN",NA,NA,NA,NA,NA,1
9,1,NA,"Terry","IN",NA,NA,NA,NA,NA,9
9,1,NA,"Imelda","OUT",NA,NA,NA,NA,NA,11
9,1,NA,"Manon","STAR BAKER",NA,NA,NA,NA,NA,3
9,2,NA,"Antony","IN",NA,NA,NA,NA,NA,9
9,2,NA,"Briony","IN",NA,NA,NA,NA,NA,5
9,2,NA,"Dan","IN",NA,NA,NA,NA,NA,3
9,2,NA,"Jon","IN",NA,NA,NA,NA,NA,1
9,2,NA,"Karen","IN",NA,NA,NA,NA,NA,11
9,2,NA,"Kim-Joy","IN",NA,NA,NA,NA,NA,4
9,2,NA,"Manon","IN",NA,NA,NA,NA,NA,6
9,2,NA,"Ruby","IN",NA,NA,NA,NA,NA,10
9,2,NA,"Terry","IN",NA,NA,NA,NA,NA,8
9,2,NA,"Luke","OUT",NA,NA,NA,NA,NA,7
9,2,NA,"Rahul","STAR BAKER",NA,NA,NA,NA,NA,2
9,2,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,3,NA,"Briony","IN",NA,NA,NA,NA,NA,9
9,3,NA,"Dan","IN",NA,NA,NA,NA,NA,6
9,3,NA,"Jon","IN",NA,NA,NA,NA,NA,2
9,3,NA,"Karen","IN",NA,NA,NA,NA,NA,5
9,3,NA,"Kim-Joy","IN",NA,NA,NA,NA,NA,10
9,3,NA,"Manon","IN",NA,NA,NA,NA,NA,3
9,3,NA,"Ruby","IN",NA,NA,NA,NA,NA,7
9,3,NA,"Terry","IN",NA,NA,NA,NA,NA,1
9,3,NA,"Antony","OUT",NA,NA,NA,NA,NA,8
9,3,NA,"Rahul","STAR BAKER",NA,NA,NA,NA,NA,4
9,3,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,3,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,4,NA,"Terry","[a]",NA,NA,NA,NA,NA,NA
9,4,NA,"Briony","IN",NA,NA,NA,NA,NA,5
9,4,NA,"Jon","IN",NA,NA,NA,NA,NA,3
9,4,NA,"Karen","IN",NA,NA,NA,NA,NA,7
9,4,NA,"Kim-Joy","IN",NA,NA,NA,NA,NA,6
9,4,NA,"Manon","IN",NA,NA,NA,NA,NA,8
9,4,NA,"Rahul","IN",NA,NA,NA,NA,NA,4
9,4,NA,"Ruby","IN",NA,NA,NA,NA,NA,2
9,4,NA,"Dan","STAR BAKER",NA,NA,NA,NA,NA,1
9,4,NA,"Antony",NA,NA,NA,NA,NA,NA,NA
9,4,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,4,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,5,NA,"Briony","IN",NA,NA,NA,NA,NA,6
9,5,NA,"Dan","IN",NA,NA,NA,NA,NA,2
9,5,NA,"Jon","IN",NA,NA,NA,NA,NA,7
9,5,NA,"Manon","IN",NA,NA,NA,NA,NA,5
9,5,NA,"Rahul","IN",NA,NA,NA,NA,NA,3
9,5,NA,"Ruby","IN",NA,NA,NA,NA,NA,1
9,5,NA,"Karen","OUT",NA,NA,NA,NA,NA,9
9,5,NA,"Terry","OUT",NA,NA,NA,NA,NA,8
9,5,NA,"Kim-Joy","STAR BAKER",NA,NA,NA,NA,NA,4
9,5,NA,"Antony",NA,NA,NA,NA,NA,NA,NA
9,5,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,5,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,6,NA,"Jon","IN",NA,NA,NA,NA,NA,2
9,6,NA,"Kim-Joy","IN",NA,NA,NA,NA,NA,5
9,6,NA,"Manon","IN",NA,NA,NA,NA,NA,4
9,6,NA,"Rahul","IN",NA,NA,NA,NA,NA,3
9,6,NA,"Ruby","IN",NA,NA,NA,NA,NA,7
9,6,NA,"Dan","OUT",NA,NA,NA,NA,NA,6
9,6,NA,"Briony","STAR BAKER",NA,NA,NA,NA,NA,1
9,6,NA,"Antony",NA,NA,NA,NA,NA,NA,NA
9,6,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,6,NA,"Karen",NA,NA,NA,NA,NA,NA,NA
9,6,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,6,NA,"Terry",NA,NA,NA,NA,NA,NA,NA
9,7,NA,"Briony","IN",NA,NA,NA,NA,NA,5
9,7,NA,"Manon","IN",NA,NA,NA,NA,NA,2
9,7,NA,"Rahul","IN",NA,NA,NA,NA,NA,1
9,7,NA,"Ruby","IN",NA,NA,NA,NA,NA,3
9,7,NA,"Jon","OUT",NA,NA,NA,NA,NA,4
9,7,NA,"Kim-Joy","STAR BAKER",NA,NA,NA,NA,NA,6
9,7,NA,"Antony",NA,NA,NA,NA,NA,NA,NA
9,7,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
9,7,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,7,NA,"Karen",NA,NA,NA,NA,NA,NA,NA
9,7,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,7,NA,"Terry",NA,NA,NA,NA,NA,NA,NA
9,8,NA,"Briony","IN",NA,NA,NA,NA,NA,1
9,8,NA,"Kim-Joy","IN",NA,NA,NA,NA,NA,2
9,8,NA,"Rahul","IN",NA,NA,NA,NA,NA,5
9,8,NA,"Manon","OUT",NA,NA,NA,NA,NA,4
9,8,NA,"Ruby","STAR BAKER",NA,NA,NA,NA,NA,3
9,8,NA,"Antony",NA,NA,NA,NA,NA,NA,NA
9,8,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
9,8,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,8,NA,"Jon",NA,NA,NA,NA,NA,NA,NA
9,8,NA,"Karen",NA,NA,NA,NA,NA,NA,NA
9,8,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,8,NA,"Terry",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Kim-Joy","IN",NA,NA,NA,NA,NA,2
9,9,NA,"Rahul","IN",NA,NA,NA,NA,NA,4
9,9,NA,"Briony","OUT",NA,NA,NA,NA,NA,3
9,9,NA,"Ruby","STAR BAKER",NA,NA,NA,NA,NA,1
9,9,NA,"Antony",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Jon",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Karen",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Manon",NA,NA,NA,NA,NA,NA,NA
9,9,NA,"Terry",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Kim-Joy","Runner-up",NA,NA,NA,NA,NA,1
9,10,NA,"Ruby","Runner-up",NA,NA,NA,NA,NA,3
9,10,NA,"Rahul","WINNER",NA,NA,NA,NA,NA,2
9,10,NA,"Antony",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Briony",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Imelda",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Jon",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Karen",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Luke",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Manon",NA,NA,NA,NA,NA,NA,NA
9,10,NA,"Terry",NA,NA,NA,NA,NA,NA,NA
9,NA,"Antony Amourdoux","Antony",NA,30,"Banker","London",NA,NA,NA
9,NA,"Briony Williams","Briony",NA,33,"Full-time parent","Bristol",NA,NA,NA
9,NA,"Dan Beasley-Harling","Dan",NA,36,"Full-time parent","London",NA,NA,NA
9,NA,"Imelda McCarron","Imelda",NA,33,"Countryside recreation officer","County Tyrone",NA,NA,NA
9,NA,"Jon Jenkins","Jon",NA,47,"Blood courier","Newport",NA,NA,NA
9,NA,"Karen Wright","Karen",NA,60,"In-store sampling assistant","Wakefield",NA,NA,NA
9,NA,"Kim-Joy Hewlett","Kim-Joy",NA,27,"Mental health specialist","Leeds",NA,NA,NA
9,NA,"Luke Thompson","Luke",NA,30,"Civil servant/house and techno DJ","Sheffield",NA,NA,NA
9,NA,"Manon Lagrave","Manon",NA,26,"Software project manager","London",NA,NA,NA
9,NA,"Rahul Mandal","Rahul",NA,30,"Research scientist","Rotherham",NA,NA,NA
9,NA,"Ruby Bhogal","Ruby",NA,29,"Project manager","London",NA,NA,NA
9,NA,"Terry Hartill","Terry",NA,56,"Retired air steward","West Midlands",NA,NA,NA
10,1,NA,"Alice","IN",NA,NA,NA,NA,NA,5
10,1,NA,"Amelia","IN",NA,NA,NA,NA,NA,4
10,1,NA,"David","IN",NA,NA,NA,NA,NA,10
10,1,NA,"Helena","IN",NA,NA,NA,NA,NA,12
10,1,NA,"Henry","IN",NA,NA,NA,NA,NA,1
10,1,NA,"Jamie","IN",NA,NA,NA,NA,NA,13
10,1,NA,"Michael","IN",NA,NA,NA,NA,NA,11
10,1,NA,"Phil","IN",NA,NA,NA,NA,NA,8
10,1,NA,"Priya","IN",NA,NA,NA,NA,NA,7
10,1,NA,"Rosie","IN",NA,NA,NA,NA,NA,2
10,1,NA,"Steph","IN",NA,NA,NA,NA,NA,3
10,1,NA,"Dan","OUT",NA,NA,NA,NA,NA,9
10,1,NA,"Michelle","STAR BAKER",NA,NA,NA,NA,NA,6
10,2,NA,"Amelia","IN",NA,NA,NA,NA,NA,9
10,2,NA,"David","IN",NA,NA,NA,NA,NA,2
10,2,NA,"Helena","IN",NA,NA,NA,NA,NA,12
10,2,NA,"Henry","IN",NA,NA,NA,NA,NA,6
10,2,NA,"Michael","IN",NA,NA,NA,NA,NA,4
10,2,NA,"Michelle","IN",NA,NA,NA,NA,NA,8
10,2,NA,"Phil","IN",NA,NA,NA,NA,NA,3
10,2,NA,"Priya","IN",NA,NA,NA,NA,NA,7
10,2,NA,"Rosie","IN",NA,NA,NA,NA,NA,5
10,2,NA,"Steph","IN",NA,NA,NA,NA,NA,10
10,2,NA,"Jamie","OUT",NA,NA,NA,NA,NA,11
10,2,NA,"Alice","STAR BAKER",NA,NA,NA,NA,NA,1
10,2,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,3,NA,"Alice","IN",NA,NA,NA,NA,NA,7
10,3,NA,"David","IN",NA,NA,NA,NA,NA,2
10,3,NA,"Helena","IN",NA,NA,NA,NA,NA,8
10,3,NA,"Henry","IN",NA,NA,NA,NA,NA,1
10,3,NA,"Michelle","IN",NA,NA,NA,NA,NA,5
10,3,NA,"Phil","IN",NA,NA,NA,NA,NA,10
10,3,NA,"Priya","IN",NA,NA,NA,NA,NA,4
10,3,NA,"Rosie","IN",NA,NA,NA,NA,NA,9
10,3,NA,"Steph","IN",NA,NA,NA,NA,NA,3
10,3,NA,"Amelia","OUT",NA,NA,NA,NA,NA,11
10,3,NA,"Michael","STAR BAKER",NA,NA,NA,NA,NA,6
10,3,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,3,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,4,NA,"Alice","IN",NA,NA,NA,NA,NA,8
10,4,NA,"David","IN",NA,NA,NA,NA,NA,2
10,4,NA,"Helena","IN",NA,NA,NA,NA,NA,9
10,4,NA,"Henry","IN",NA,NA,NA,NA,NA,3
10,4,NA,"Michael","IN",NA,NA,NA,NA,NA,7
10,4,NA,"Michelle","IN",NA,NA,NA,NA,NA,5
10,4,NA,"Priya","IN",NA,NA,NA,NA,NA,10
10,4,NA,"Rosie","IN",NA,NA,NA,NA,NA,4
10,4,NA,"Phil","OUT",NA,NA,NA,NA,NA,6
10,4,NA,"Steph","STAR BAKER",NA,NA,NA,NA,NA,1
10,4,NA,"Amelia",NA,NA,NA,NA,NA,NA,NA
10,4,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,4,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,5,NA,"Alice","IN",NA,NA,NA,NA,NA,6
10,5,NA,"David","IN",NA,NA,NA,NA,NA,9
10,5,NA,"Henry","IN",NA,NA,NA,NA,NA,3
10,5,NA,"Michael","IN",NA,NA,NA,NA,NA,8
10,5,NA,"Priya","IN",NA,NA,NA,NA,NA,2
10,5,NA,"Rosie","IN",NA,NA,NA,NA,NA,5
10,5,NA,"Helena","OUT",NA,NA,NA,NA,NA,1
10,5,NA,"Michelle","OUT",NA,NA,NA,NA,NA,7
10,5,NA,"Steph","STAR BAKER",NA,NA,NA,NA,NA,4
10,5,NA,"Amelia",NA,NA,NA,NA,NA,NA,NA
10,5,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,5,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,5,NA,"Phil",NA,NA,NA,NA,NA,NA,NA
10,6,NA,"Alice","IN",NA,NA,NA,NA,NA,1
10,6,NA,"David","IN",NA,NA,NA,NA,NA,2
10,6,NA,"Henry","IN",NA,NA,NA,NA,NA,4
10,6,NA,"Michael","IN",NA,NA,NA,NA,NA,6
10,6,NA,"Rosie","IN",NA,NA,NA,NA,NA,5
10,6,NA,"Priya","OUT",NA,NA,NA,NA,NA,7
10,6,NA,"Steph","STAR BAKER",NA,NA,NA,NA,NA,3
10,6,NA,"Amelia",NA,NA,NA,NA,NA,NA,NA
10,6,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,6,NA,"Helena",NA,NA,NA,NA,NA,NA,NA
10,6,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,6,NA,"Michelle",NA,NA,NA,NA,NA,NA,NA
10,6,NA,"Phil",NA,NA,NA,NA,NA,NA,NA
10,7,NA,"Alice","IN",NA,NA,NA,NA,NA,6
10,7,NA,"David","IN",NA,NA,NA,NA,NA,2
10,7,NA,"Rosie","IN",NA,NA,NA,NA,NA,1
10,7,NA,"Steph","IN",NA,NA,NA,NA,NA,4
10,7,NA,"Michael","OUT",NA,NA,NA,NA,NA,5
10,7,NA,"Henry","STAR BAKER",NA,NA,NA,NA,NA,3
10,7,NA,"Amelia",NA,NA,NA,NA,NA,NA,NA
10,7,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,7,NA,"Helena",NA,NA,NA,NA,NA,NA,NA
10,7,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,7,NA,"Michelle",NA,NA,NA,NA,NA,NA,NA
10,7,NA,"Phil",NA,NA,NA,NA,NA,NA,NA
10,7,NA,"Priya",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Alice","IN",NA,NA,NA,NA,NA,3
10,8,NA,"David","IN",NA,NA,NA,NA,NA,1
10,8,NA,"Rosie","IN",NA,NA,NA,NA,NA,2
10,8,NA,"Henry","OUT",NA,NA,NA,NA,NA,5
10,8,NA,"Steph","STAR BAKER",NA,NA,NA,NA,NA,4
10,8,NA,"Amelia",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Helena",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Michelle",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Phil",NA,NA,NA,NA,NA,NA,NA
10,8,NA,"Priya",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"David","IN",NA,NA,NA,NA,NA,2
10,9,NA,"Steph","IN",NA,NA,NA,NA,NA,3
10,9,NA,"Rosie","OUT",NA,NA,NA,NA,NA,1
10,9,NA,"Alice","STAR BAKER",NA,NA,NA,NA,NA,4
10,9,NA,"Amelia",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Helena",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Henry",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Michelle",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Phil",NA,NA,NA,NA,NA,NA,NA
10,9,NA,"Priya",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Alice","Runner-up",NA,NA,NA,NA,NA,2
10,10,NA,"Steph","Runner-up",NA,NA,NA,NA,NA,3
10,10,NA,"David","WINNER",NA,NA,NA,NA,NA,1
10,10,NA,"Amelia",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Dan",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Helena",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Henry",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Jamie",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Michael",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Michelle",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Phil",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Priya",NA,NA,NA,NA,NA,NA,NA
10,10,NA,"Rosie",NA,NA,NA,NA,NA,NA,NA
10,NA,"Alice Fevronia","Alice",NA,28,"Geography teacher","Essex",NA,NA,NA
10,NA,"Amelia LeBruin","Amelia",NA,24,"Fashion designer","Halifax",NA,NA,NA
10,NA,"Dan Chambers","Dan",NA,32,"Support worker","Rotherham",NA,NA,NA
10,NA,"David Atherton","David",NA,36,"International health adviser","Whitby",NA,NA,NA
10,NA,"Helena Garcia","Helena",NA,40,"Online project manager","Leeds",NA,NA,NA
10,NA,"Henry Bird","Henry",NA,20,"Student","Durham",NA,NA,NA
10,NA,"Jamie Finn","Jamie",NA,20,"Part-time waiter","Surrey",NA,NA,NA
10,NA,"Michael Chakraverty","Michael",NA,26,"Theatre manager/fitness instructor","Stratford-upon-Avon",NA,NA,NA
10,NA,"Michelle Evans-Fecci","Michelle",NA,35,"Print shop administrator","Tenby, Wales",NA,NA,NA
10,NA,"Phil Thorne","Phil",NA,56,"HGV driver","Rainham",NA,NA,NA
10,NA,"Priya O'Shea","Priya",NA,34,"Marketing consultant","Leicester",NA,NA,NA
10,NA,"Rosie Brandreth-Poynter","Rosie",NA,28,"Veterinary surgeon","Somerset",NA,NA,NA
10,NA,"Steph Blackwell","Steph",NA,28,"Shop assistant","Chester",NA,NA,NA
